apontamento_id,projeto_id,analista_id,data,horas,atividade
APT002473,PRJ0032,ANL006,2026-03-23,6.0,Reunião Com Cliente
APT004798,PRJ0064,ANL008,2026-05-08,65.0,Apresentação
APT005566,PRJ0079,ANL012,2025-06-02,6.0,Coleta
APT000099,PRJ0003,ANL009,2025-09-15,45.0,Documentação
APT009367,PRJ0134,ANL009,2026-01-22,4.0,Modelagem
APT008582,PRJ0121,ANL009,2026-04-05,8.0,Testes
APT006641,PRJ0093,ANL020,2024-09-11,2.0,Testes
APT006423,PRJ0089,ANL022,2024-09-11,45.0,Coleta
APT007648,PRJ0109,ANL019,2026-03-27,6.0,Modelagem
APT006902,PRJ0098,ANL018,2025-10-15,7.0,Apresentação
APT006332,PRJ0086,ANL015,2026-05-27,5.0,Reunião Com Cliente
APT000467,PRJ0007,ANL004,2024-08-23,25.0,Reunião Com Cliente
APT000326,PRJ0006,ANL014,2025-06-05,85.0,Reunião Com Cliente
APT006821,PRJ0096,ANL021,2026-05-28,8.0,Etl
APT006338,PRJ0086,ANL015,2026-03-31,25.0,Etl
APT000052,PRJ0001,ANL004,2024-03-21,2.0,Documentação
APT006146,PRJ0083,ANL009,2025-07-30,4.0,Dashboard
APT009012,PRJ0129,ANL013,2025-12-30,6.0,Modelagem
APT004016,PRJ0051,ANL023,2024-11-12,3.0,Modelagem
APT002946,PRJ0036,ANL001,2026-05-21,85.0,Apresentação
APT002753,PRJ0034,ANL018,2024-06-17,3.0,Reunião Com Cliente
APT000356,PRJ0006,ANL002,2025-06-13,65.0,Dashboard
APT001350,PRJ0015,ANL004,2025-11-13,4.0,Etl
APT004181,PRJ0055,ANL014,2024-08-28,85.0,Testes
APT005769,PRJ0081,ANL017,2026-03-30,8.0,Apresentação
APT001239,PRJ0014,ANL002,2024-06-17,4.0,Coleta
APT008005,PRJ0115,ANL023,2024-05-09,4.0,Modelagem
APT003035,PRJ0037,ANL016,2025-04-18,2.0,Dashboard
APT001870,PRJ0024,ANL023,2025-11-13,6.0,Modelagem
APT000795,PRJ0010,ANL013,2024-07-24,5.0,Coleta
APT009722,PRJ0140,ANL018,2025-12-19,5.0,Modelagem
APT005855,PRJ0081,ANL017,2026-06-08,2.0,Dashboard
APT003487,PRJ0042,ANL013,2025-08-26,3.5,Reunião Com Cliente
APT006342,PRJ0086,ANL003,2026-05-25,4.0,Apresentação
APT000298,PRJ0005,ANL017,2025-01-20,4.0,Apresentação
APT009699,PRJ0140,ANL006,2026-01-19,25.0,Modelagem
APT005766,PRJ0081,ANL011,2026-04-06,6.0,Dashboard
APT003696,PRJ0047,ANL012,2024-09-30,4.0,Testes
APT006649,PRJ0093,ANL020,2024-10-08,6.5,Reunião Com Cliente
APT006740,PRJ0095,ANL002,2025-01-14,4.0,Dashboard
APT004965,PRJ0066,ANL021,2024-11-05,6.0,Reunião Com Cliente
APT000841,PRJ0010,ANL007,2024-09-06,2.0,Coleta
APT004107,PRJ0053,ANL008,2026-04-01,7.0,Modelagem
APT003896,PRJ0050,ANL020,2025-10-13,4.0,Coleta
APT009276,PRJ0133,ANL018,2026-05-26,4.0,Documentação
APT003427,PRJ0042,ANL013,2025-05-09,6.5,Reunião Com Cliente
APT007556,PRJ0106,ANL021,2026-05-28,6.0,Etl
APT007431,PRJ0106,ANL009,2026-04-27,4.0,Testes
APT005657,PRJ0079,ANL006,2025-07-21,65.0,Etl
APT007090,PRJ0101,ANL006,2026-05-18,4.0,Documentação
APT003422,PRJ0042,ANL001,2025-09-09,7.0,Coleta
APT002847,PRJ0036,ANL007,2026-04-21,6.0,Coleta
APT006915,PRJ0098,ANL006,2025-08-19,55.0,Coleta
APT002704,PRJ0034,ANL012,2024-04-30,6.0,Coleta
APT005319,PRJ0073,ANL003,2025-02-19,6.0,Etl
APT007094,PRJ0101,ANL012,2026-05-06,3.0,Testes
APT007116,PRJ0101,ANL006,2026-04-27,6.0,Reunião Com Cliente
APT006893,PRJ0098,ANL006,2025-10-08,65.0,Reunião Com Cliente
APT002495,PRJ0032,ANL012,2026-04-08,8.0,Documentação
APT008460,PRJ0120,ANL007,2026-06-17,8.0,Testes
APT000536,PRJ0007,ANL004,2024-10-18,45.0,Etl
