projeto_id,cliente_id,nome_projeto,tipo_servico,squad,status,data_inicio,data_fim_prevista,data_fim_real,horas_vendidas,valor_contrato
PRJ0001,CLI013,Dashboard Bi - Windsor,Dashboard B.I.,Delta,Concluído,2024-03-19,2024-05-06,2024-05-08,288,58987.08
PRJ0002,CLI022,Diagnóstico De Dados - Umbu,Diagnóstico De Dados,Alpha,Cancelado,2024-10-01,2024-10-28,,89,24044.51
PRJ0003,CLI051,Pipeline De Dados - Cristal,Pipeline De Dados,Charlie,Concluído,2025-06-16,2025-10-20,2025-10-15,423,91525.58
PRJ0004,CLI060,Dashboard Bi - Kairós,Dashboard Bi,Echo,Concluído,2024-03-19,2024-04-25,2024-04-26,220,47409.01
PRJ0005,CLI020,Modelo Preditivo - Duna,Modelo Preditivo,Echo,Concluído,2024-12-09,2025-02-27,2025-03-12,338,61970.49
PRJ0006,CLI048,Pipeline De Dados - Pantanal,Pipeline De Dados,Bravo,Concluído,2025-02-26,2025-06-16,2025-07-09,515,110285.35
PRJ0007,CLI021,Data Warehouse - Quartzo,Data Warehouse,Delta,Concluído,2024-08-13,2025-02-17,2025-02-20,852,169819.61
PRJ0008,CLI041,Data Warehouse - Everest,Data Warehouse,Echo,Em Andamento,2026-02-16,2026-09-04,,743,133841.27
PRJ0009,CLI031,Dashboard Bi - Everest,Dashboard Bi,Echo,Concluído,2025-10-13,2025-11-17,2025-11-17,157,34835.02
PRJ0010,CLI001,Modelo Preditivo - Umbu,Modelo Preditivo,Alpha,Concluído,2024-07-08,2024-10-22,2024-10-21,578,98986.73
PRJ0011,CLI030,Diagnóstico De Dados - Serena,Diagnóstico De Dados,Bravo,Concluído,2025-08-04,2025-09-10,2025-09-09,178,45106.31
PRJ0012,CLI054,Data Warehouse - Aurora,Data Warehouse,Echo,Em Andamento,2026-02-09,2026-07-13,,856,192040.56
PRJ0013,CLI050,Dashboard Bi - Horizonte,Dashboard B.I.,Echo,Concluído,2024-10-15,2025-01-08,2025-01-03,368,86065.04
PRJ0014,CLI009,Data Warehouse - Basalto,Data Warehouse,Bravo,Concluído,2024-12-06,2024-10-14,2024-11-14,636,124698.57
PRJ0015,CLI054,Dashboard Bi - Aurora,Dashboard Bi,Delta,Concluído,2025-08-28,2025-10-21,2025-12-15,319,80815.04
PRJ0016,CLI020,Treinamento - Duna,Treinamento,Delta,Concluído,2026-05-12,2026-06-16,2026-06-16,149,24522.73
PRJ0017,CLI018,Pipeline De Dados - Duna,Pipeline De Dados,Delta,Concluído,2024-12-17,2025-03-17,2025-03-20,448,81420.19
PRJ0018,CLI040,Dashboard Bi - Kairós,Dashboard Bi,Echo,Concluído,2025-09-05,2025-10-03,2025-11-18,133,33713.51
PRJ0019,CLI017,Dashboard Bi - Granito,Dashboard B.I.,Delta,Concluído,2024-12-09,2025-02-18,2025-02-14,287,58782.26
PRJ0020,CLI006,Dashboard Bi - Granito,Dashboard Bi,Delta,Concluído,2024-03-01,2024-03-22,2024-03-25,129,31273.69
PRJ0021,CLI002,Dashboard Bi - Xingu,Dashboard Bi,Bravo,Concluído,2025-06-10,2025-12-09,2026-01-26,222,55221.62
PRJ0022,CLI017,Pipeline De Dados - Granito,Pipeline De Dados,Charlie,Concluído,2026-02-11,2026-04-07,2026-04-01,285,61660.77
PRJ0023,CLI020,Dashboard Bi - Duna,Dashboard Bi,Echo,Concluído,2026-01-09,2026-04-06,2026-04-08,312,67942.93
PRJ0024,CLI044,Pipeline De Dados - Pantanal,Pipeline De Dados,Echo,Concluído,2025-08-11,2025-12-03,2025-01-12,612,146611.64
PRJ0025,CLI001,Modelo Preditivo - Umbu,Modelo Preditivo,Delta,Concluído,2025-01-13,2025-04-10,2025-04-14,430,66769.09
PRJ0026,CLI042,Data Warehouse - Ébano,Data Warehouse,Charlie,Concluído,2025-07-14,2026-01-23,2026-01-26,1030,226034.49
PRJ0027,CLI060,Dashboard Bi - Kairós,Dashboard Bi,Alpha,Concluído,2024-09-13,2024-11-01,2024-11-04,262,65949.12
PRJ0028,CLI012,Diagnóstico De Dados - Laguna,Diagnóstico De Dados,Delta,Concluído,2024-09-30,2024-10-28,2024-10-31,114,26036.0
PRJ0029,CLI013,Data Warehouse - Windsor,Data Warehouse,Alpha,Concluído,2025-05-22,2025-10-07,2025-11-11,647,138848.86
PRJ0030,CLI006,Diagnóstico De Dados - Granito,Diagnóstico De Dados,Charlie,Concluído,2024-09-13,2024-10-14,2024-10-14,116,26952.84
PRJ0031,CLI036,Treinamento - Cristal,Treinamento,Charlie,Concluído,2024-10-11,2024-11-01,2024-04-11,85,13187.13
PRJ0032,CLI049,Data Warehouse - Cristal,Data Warehouse,Foxtrot,Concluído,2026-02-02,2026-06-15,2026-06-15,589,109279.97
PRJ0033,CLI019,Diagnóstico De Dados - Xingu,Diagnóstico De Dados,Bravo,Concluído,2024-01-22,2024-02-20,2024-02-12,152,32582.01
