pesquisa_id,projeto_id,data_pesquisa,nota_nps,comentario
PSQ0001,PRJ0001,2024-05-27,,"Resultado Ok, Prazo Apertado."
PSQ0002,PRJ0003,2025-10-20,10.0,Documentação Impecável.
PSQ0003,PRJ0004,2024-05-08,9.0,Documentação Impecável.
PSQ0004,PRJ0005,2025-03-27,7.0,"Bom Projeto, Comunicação Pode Melhorar."
PSQ0005,PRJ0006,17/07/2025,6.0,Suporte Demorou A Responder.
PSQ0006,PRJ0010,06-Nov-2024,9.0,Ganhamos Agilidade Nas Decisões.
PSQ0007,PRJ0011,09/15/2025,7.0,"Bom Projeto, Comunicação Pode Melhorar."
PSQ0008,PRJ0013,2025-01-21,8.0,Atendeu Ao Combinado.
PSQ0009,PRJ0014,2024-11-27,6.0,Precisamos Refazer Parte Do Painel.
PSQ0010,PRJ0015,2025-12-29,8.0,"Resultado Ok, Prazo Apertado."
PSQ0011,PRJ0016,2026-07-02,9.0,Ganhamos Agilidade Nas Decisões.
PSQ0012,PRJ0017,26/03/2025,10.0,O Painel Virou Rotina Da Diretoria.
PSQ0013,PRJ0018,02-Dez-2025,7.0,Atendeu Ao Combinado.
PSQ0014,PRJ0019,03/03/2025,9.0,O Painel Virou Rotina Da Diretoria.
PSQ0015,PRJ0020,2024-04-11,,O Painel Virou Rotina Da Diretoria.
PSQ0016,PRJ0022,2026-04-09,10.0,Documentação Impecável.
PSQ0017,PRJ0023,2026-04-28,8.0,"Resultado Ok, Prazo Apertado."
PSQ0018,PRJ0024,2025-12-19,10.0,Ganhamos Agilidade Nas Decisões.
PSQ0019,PRJ0025,30/04/2025,8.0,"Resultado Ok, Prazo Apertado."
PSQ0020,PRJ0026,06-Fev-2026,8.0,"Resultado Ok, Prazo Apertado."
PSQ0021,PRJ0028,11/06/2024,9.0,Ganhamos Agilidade Nas Decisões.
PSQ0022,PRJ0029,2025-11-27,7.0,"Bom Projeto, Comunicação Pode Melhorar."
PSQ0023,PRJ0030,2024-10-28,10.0,O Painel Virou Rotina Da Diretoria.
PSQ0024,PRJ0031,2024-11-25,8.0,Atendeu Ao Combinado.
PSQ0025,PRJ0032,2026-06-29,10.0,Ganhamos Agilidade Nas Decisões.
PSQ0026,PRJ0033,21/02/2024,10.0,Ganhamos Agilidade Nas Decisões.
PSQ0027,PRJ0034,01-Jul-2024,5.0,Suporte Demorou A Responder.
PSQ0028,PRJ0035,04/21/2025,9.0,Ganhamos Agilidade Nas Decisões.
PSQ0029,PRJ0037,2025-06-27,,O Painel Virou Rotina Da Diretoria.
PSQ0030,PRJ0039,2025-03-18,9.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0031,PRJ0041,2025-08-11,8.0,"Resultado Ok, Prazo Apertado."
PSQ0032,PRJ0043,2025-12-22,9.0,Documentação Impecável.
PSQ0033,PRJ0044,16/06/2025,10.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0034,PRJ0045,09-Abr-2025,10.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0035,PRJ0046,04/08/2024,10.0,O Painel Virou Rotina Da Diretoria.
PSQ0036,PRJ0047,2024-12-20,6.0,Atraso Significativo Na Entrega.
PSQ0037,PRJ0049,2026-03-16,10.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0038,PRJ0050,2025-11-18,8.0,"Bom Projeto, Comunicação Pode Melhorar."
PSQ0039,PRJ0051,2025-01-10,7.0,Atendeu Ao Combinado.
PSQ0040,PRJ0052,15/05/2026,8.0,"Resultado Ok, Prazo Apertado."
PSQ0041,PRJ0053,06-Mai-2026,9.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0042,PRJ0055,11/04/2024,9.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0043,PRJ0057,2026-05-11,,Entrega No Prazo E Time Muito Atencioso.
PSQ0044,PRJ0059,2025-05-19,4.0,Atraso Significativo Na Entrega.
PSQ0045,PRJ0060,2025-05-20,9.0,Documentação Impecável.
PSQ0046,PRJ0061,2025-06-16,8.0,"Resultado Ok, Prazo Apertado."
PSQ0047,PRJ0064,03/06/2026,10.0,Documentação Impecável.
PSQ0048,PRJ0065,08-Abr-2026,10.0,O Painel Virou Rotina Da Diretoria.
PSQ0049,PRJ0066,12/30/2024,10.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0050,PRJ0067,2024-07-18,9.0,Documentação Impecável.
PSQ0051,PRJ0068,2025-03-25,9.0,Documentação Impecável.
PSQ0052,PRJ0069,2024-11-25,10.0,O Painel Virou Rotina Da Diretoria.
PSQ0053,PRJ0070,2025-08-29,9.0,Documentação Impecável.
PSQ0054,PRJ0071,11/03/2025,9.0,O Painel Virou Rotina Da Diretoria.
PSQ0055,PRJ0072,24-Nov-2025,10.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0056,PRJ0073,03/24/2025,10.0,O Painel Virou Rotina Da Diretoria.
PSQ0057,PRJ0074,2025-11-17,,Entrega No Prazo E Time Muito Atencioso.
PSQ0058,PRJ0075,2025-09-15,8.0,"Resultado Ok, Prazo Apertado."
PSQ0059,PRJ0076,2024-06-26,10.0,Documentação Impecável.
PSQ0060,PRJ0077,2025-01-13,10.0,Documentação Impecável.
PSQ0061,PRJ0078,10/11/2025,9.0,O Painel Virou Rotina Da Diretoria.
PSQ0062,PRJ0079,04-Ago-2025,10.0,Ganhamos Agilidade Nas Decisões.
PSQ0063,PRJ0080,12/09/2024,9.0,O Painel Virou Rotina Da Diretoria.
PSQ0064,PRJ0084,2025-10-07,10.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0065,PRJ0086,2026-06-22,8.0,"Bom Projeto, Comunicação Pode Melhorar."
PSQ0066,PRJ0087,2025-11-24,10.0,Ganhamos Agilidade Nas Decisões.
PSQ0067,PRJ0088,2025-10-24,5.0,Suporte Demorou A Responder.
PSQ0068,PRJ0089,02/10/2024,7.0,Atendeu Ao Combinado.
PSQ0069,PRJ0090,22-Nov-2024,10.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0070,PRJ0091,01/14/2026,7.0,"Resultado Ok, Prazo Apertado."
PSQ0071,PRJ0092,2024-09-05,,O Painel Virou Rotina Da Diretoria.
PSQ0072,PRJ0093,2024-12-02,9.0,Documentação Impecável.
PSQ0073,PRJ0094,2025-10-08,7.0,Atendeu Ao Combinado.
PSQ0074,PRJ0096,2026-06-15,10.0,Ganhamos Agilidade Nas Decisões.
PSQ0075,PRJ0097,01/07/2024,10.0,O Painel Virou Rotina Da Diretoria.
PSQ0076,PRJ0098,23-Out-2025,8.0,Atendeu Ao Combinado.
PSQ0077,PRJ0099,07/14/2025,10.0,Ganhamos Agilidade Nas Decisões.
PSQ0078,PRJ0100,2026-06-22,10.0,O Painel Virou Rotina Da Diretoria.
PSQ0079,PRJ0102,2025-03-10,6.0,Precisamos Refazer Parte Do Painel.
PSQ0080,PRJ0104,2024-06-25,8.0,"Bom Projeto, Comunicação Pode Melhorar."
PSQ0081,PRJ0105,2025-12-17,8.0,"Bom Projeto, Comunicação Pode Melhorar."
PSQ0082,PRJ0107,05/05/2025,7.0,"Bom Projeto, Comunicação Pode Melhorar."
PSQ0083,PRJ0108,17-Jul-2024,10.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0084,PRJ0109,06/24/2026,8.0,"Bom Projeto, Comunicação Pode Melhorar."
PSQ0085,PRJ0110,2025-03-03,,Documentação Impecável.
PSQ0086,PRJ0112,2025-09-01,5.0,Suporte Demorou A Responder.
PSQ0087,PRJ0113,2024-06-20,10.0,Documentação Impecável.
PSQ0088,PRJ0116,2025-06-12,10.0,Documentação Impecável.
PSQ0089,PRJ0117,25/08/2025,9.0,Ganhamos Agilidade Nas Decisões.
PSQ0090,PRJ0119,18-Jun-2024,6.0,Precisamos Refazer Parte Do Painel.
PSQ0091,PRJ0123,08/29/2025,3.0,Suporte Demorou A Responder.
PSQ0092,PRJ0124,2024-11-18,8.0,Atendeu Ao Combinado.
PSQ0093,PRJ0125,2025-04-21,8.0,"Resultado Ok, Prazo Apertado."
PSQ0094,PRJ0126,2026-06-17,5.0,Precisamos Refazer Parte Do Painel.
PSQ0095,PRJ0127,2025-12-22,7.0,"Resultado Ok, Prazo Apertado."
PSQ0096,PRJ0128,18/06/2026,6.0,Atraso Significativo Na Entrega.
PSQ0097,PRJ0130,15-Jul-2025,9.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0098,PRJ0132,11/21/2024,9.0,Entrega No Prazo E Time Muito Atencioso.
PSQ0099,PRJ0134,2026-02-26,,"Resultado Ok, Prazo Apertado."
PSQ0100,PRJ0135,2024-04-19,10.0,O Painel Virou Rotina Da Diretoria.
PSQ0101,PRJ0137,2025-07-22,9.0,O Painel Virou Rotina Da Diretoria.
PSQ0102,PRJ0139,2024-12-23,7.0,"Bom Projeto, Comunicação Pode Melhorar."
PSQ0103,PRJ0140,13/02/2026,8.0,"Bom Projeto, Comunicação Pode Melhorar."
