apontamento_id,projeto_id,analista_id,data,horas,atividade
APT002473,PRJ0032,ANL006,2026-03-23,6,Reunião com cliente
APT004798,PRJ0064,ANL008,2026-05-08,6.5,Apresentação
APT005566,PRJ0079,ANL012,2025-06-02,6,Coleta
APT000099,PRJ0003,ANL009,2025-09-15,4.5,Documentação
APT009367,PRJ0134,ANL009,2026-01-22,4,Modelagem
APT008582,PRJ0121,ANL009,05/04/2026,8,Testes
APT006641,PRJ0093,ANL020,11/09/2024,2,Testes
APT006423,PRJ0089,ANL022,2024-09-11,4.5,Coleta
APT007648,PRJ0109,ANL019,2026-03-27,6,Modelagem
APT006902,PRJ0098,ANL018,10/15/2025,7,Apresentação
APT006332,PRJ0086,ANL015,2026-05-27,5,Reunião com cliente
APT000467,PRJ0007,ANL004,23/08/2024,2.5,Reunião com cliente
APT000326,PRJ0006,ANL014,2025-06-05,8.5,REUNIÃO COM CLIENTE
APT006821,PRJ0096,ANL021,2026-05-28,8,ETL
APT006338,PRJ0086,ANL015,2026-03-31,2.5,ETL
APT000052,PRJ0001,ANL004,2024-03-21,2,Documentação
APT006146,PRJ0083,ANL009,07/30/2025,4,Dashboard
APT009012,PRJ0129,ANL013,2025-12-30,6,Modelagem
APT004016,PRJ0051,ANL023,12/11/2024,3,Modelagem
APT002946,PRJ0036,ANL001,21-mai-2026,8.5,Apresentação
APT002753,PRJ0034,ANL018,2024-06-17,3,Reunião com cliente
APT000356,PRJ0006,ANL002,13-jun-2025,6.5,Dashboard
APT001350,PRJ0015,ANL004,13-nov-2025,4,ETL
APT004181,PRJ0055,ANL014,2024-08-28,8.5,Testes
APT005769,PRJ0081,ANL017,2026-03-30,8,Apresentação
APT001239,PRJ0014,ANL002,06/17/2024,4,Coleta
APT008005,PRJ0115,ANL023,2024-05-09,4,Modelagem
APT003035,PRJ0037,ANL016,2025-04-18,2,Dashboard
APT001870,PRJ0024,ANL023,2025-11-13,6,Modelagem
APT000795,PRJ0010,ANL013,2024-07-24,5,Coleta
APT009722,PRJ0140,ANL018,19-dez-2025,5,Modelagem
APT005855,PRJ0081,ANL017,2026-06-08,2,Dashboard
APT003487,PRJ0042,ANL013,2025-08-26,"3,5",Reunião com cliente
APT006342,PRJ0086,ANL003,05/25/2026,4,Apresentação
APT000298,PRJ0005,ANL017,2025-01-20,4,Apresentação
APT009699,PRJ0140,ANL006,2026-01-19,2.5,Modelagem
APT005766,PRJ0081,ANL011,06/04/2026,6,Dashboard
APT003696,PRJ0047,ANL012,09/30/2024,4,Testes
APT006649,PRJ0093,ANL020,08-out-2024,"6,5",Reunião com cliente
APT006740,PRJ0095,ANL002,14-jan-2025,4,Dashboard
APT004965,PRJ0066,ANL021,2024-11-05,6,Reunião com cliente
APT000841,PRJ0010,ANL007,2024-09-06,2,Coleta
APT004107,PRJ0053,ANL008,01/04/2026,7,Modelagem
APT003896,PRJ0050,ANL020,2025-10-13,4,Coleta
APT009276,PRJ0133,ANL018,2026-05-26,4,DOCUMENTAÇÃO
APT003427,PRJ0042,ANL013,2025-05-09,"6,5",Reunião com cliente
APT007556,PRJ0106,ANL021,2026-05-28,6,ETL
APT007431,PRJ0106,ANL009,2026-04-27,4,Testes
APT005657,PRJ0079,ANL006,2025-07-21,6.5,ETL
APT007090,PRJ0101,ANL006,18-mai-2026,4,Documentação
APT003422,PRJ0042,ANL001,09-set-2025,7,Coleta
APT002847,PRJ0036,ANL007,21/04/2026,6,Coleta
APT006915,PRJ0098,ANL006,19-ago-2025,5.5,Coleta
APT002704,PRJ0034,ANL012,2024-04-30,6,Coleta
APT005319,PRJ0073,ANL003,19-fev-2025,6,ETL
APT007094,PRJ0101,ANL012,2026-05-06,3,Testes
APT007116,PRJ0101,ANL006,2026-04-27,6,Reunião com cliente
APT006893,PRJ0098,ANL006,08/10/2025,6.5,Reunião com cliente
APT002495,PRJ0032,ANL012,2026-04-08,8,Documentação
APT008460,PRJ0120,ANL007,2026-06-17,8,Testes
APT000536,PRJ0007,ANL004,2024-10-18,4.5,ETL
APT003912,PRJ0050,ANL020,13-out-2025,3,Documentação
APT008128,PRJ0118,ANL002,2026-01-06,3,Reunião com cliente
APT006732,PRJ0095,ANL002,16/01/2025,8.5,Modelagem
APT007581,PRJ0106,ANL009,04/27/2026,6,Documentação
APT007407,PRJ0106,ANL015,2026-05-18,2,ETL
APT002306,PRJ0029,ANL007,2025-07-09,3,Documentação
APT003086,PRJ0039,ANL013,04-fev-2025,5,Apresentação
APT005843,PRJ0081,ANL023,07/05/2026,5,Apresentação
APT004616,PRJ0063,ANL019,2026-06-09,4,Reunião com cliente
APT005434,PRJ0077,ANL014,2024-12-23,5,Modelagem
APT003990,PRJ0051,ANL023,11/20/2024,4,Modelagem
APT001222,PRJ0014,ANL008,2024-10-03,4,Coleta
APT004494,PRJ0060,ANL012,04/29/2025,6.5,Coleta
APT007307,PRJ0104,ANL024,22-abr-2024,2.5,Coleta
APT007760,PRJ0109,ANL019,2026-03-11,6.5,Coleta
APT004506,PRJ0060,ANL024,13/05/2025,4,ETL
