projeto_id,cliente_id,nome_projeto,tipo_servico,squad,status,data_inicio,data_fim_prevista,data_fim_real,horas_vendidas,valor_contrato
PRJ0001,CLI013,Dashboard BI - Windsor,Dashboard B.I.,Delta,CONCLUÍDO,2024-03-19,2024-05-06,08/05/2024,288,
PRJ0002,CLI022,Diagnóstico de Dados - Umbu,Diagnóstico de Dados,Alpha,Cancelado,2024-10-01,2024-10-28,,89,24044.51
PRJ0003,CLI051,Pipeline de Dados - Cristal,Pipeline de Dados,Charlie,Concluído,2025-06-16,20/10/2025,10/15/2025,423,91525.58
PRJ0004,CLI060,Dashboard BI - Kairós,Dashboard BI,Echo,Concluído,2024-03-19,25-abr-2024,2024-04-26,220,47409.01
PRJ0005,CLI020,Modelo Preditivo - Duna,Modelo Preditivo,Echo,Concluído,09/12/2024,02/27/2025,2025-03-12,338,"61.970,49"
PRJ0006,CLI048,Pipeline de Dados - Pantanal,Pipeline de Dados,Bravo,Concluído,26-fev-2025,2025-06-16,2025-07-09,515,110285.35
PRJ0007,CLI021,Data Warehouse - Quartzo,Data Warehouse,Delta,Concluído,08/13/2024,2025-02-17,2025-02-20,852,169819.61
PRJ0008,CLI041,Data Warehouse - Everest,Data Warehouse,Echo,Em andamento,2026-02-16,2026-09-04,,743,133841.27
PRJ0009,CLI031,Dashboard BI - Everest,Dashboard BI,Echo,Concluído,2025-10-13,2025-11-17,17-nov-2025,157,"34.835,02"
PRJ0010,CLI001,Modelo Preditivo - Umbu,Modelo Preditivo,Alpha,Concluído,2024-07-08,22/10/2024,10/21/2024,578,98986.73
PRJ0011,CLI030,Diagnóstico de Dados - Serena,diagnóstico de dados,Bravo,Concluído,2025-08-04,10-set-2025,2025-09-09,178,45106.31
PRJ0012,CLI054,Data Warehouse - Aurora,Data Warehouse,Echo,Em andamento,09/02/2026,07/13/2026,,856,192040.56
PRJ0013,CLI050,Dashboard BI - Horizonte,Dashboard B.I.,Echo,Concluído,15-out-2024,2025-01-08,2025-01-03,368,"86.065,04"
PRJ0014,CLI009,Data Warehouse - Basalto,Data Warehouse,Bravo,Concluído,06/12/2024,2024-10-14,2024-11-14,636,124698.57
PRJ0015,CLI054,Dashboard BI - Aurora,DASHBOARD BI,Delta,Concluído,2025-08-28,2025-10-21,15/12/2025,319,80815.04
PRJ0016,CLI020,Treinamento - Duna,Treinamento,Delta,CONCLUÍDO,2026-05-12,2026-06-16,16-jun-2026,149,24522.73
PRJ0017,CLI018,Pipeline de Dados - Duna,Pipeline de Dados,Delta,Concluído,2024-12-17,17/03/2025,03/20/2025,448,"81.420,19"
PRJ0018,CLI040,Dashboard BI - Kairós,Dashboard BI,Echo,Concluído,2025-09-05,03-out-2025,2025-11-18,133,33713.51
PRJ0019,CLI017,Dashboard BI - Granito,Dashboard B.I.,Delta,Concluído,09/12/2024,02/18/2025,2025-02-14,287,58782.26
PRJ0020,CLI006,Dashboard BI - Granito,  Dashboard BI,Delta,Concluído,01-mar-2024,2024-03-22,2024-03-25,129,31273.69
PRJ0021,CLI002,Dashboard BI - Xingu,dashboard bi,Bravo,Concluído,10/06/2025,2025-12-09,2026-01-26,222,"55.221,62"
PRJ0022,CLI017,Pipeline de Dados - Granito,Pipeline de Dados,Charlie,Concluído,2026-02-11,2026-04-07,01/04/2026,285,61660.77
PRJ0023,CLI020,Dashboard BI - Duna,Dashboard BI,Echo,Concluído,2026-01-09,2026-04-06,08-abr-2026,312,67942.93
PRJ0024,CLI044,Pipeline de Dados - Pantanal,Pipeline de Dados,Echo,Concluído,2025-08-11,03/12/2025,12/01/2025,612,
PRJ0025,CLI001,Modelo Preditivo - Umbu,Modelo Preditivo,Delta,Concluído,2025-01-13,10-abr-2025,2025-04-14,430,"66.769,09"
PRJ0026,CLI042,Data Warehouse - Ébano,Data Warehouse,Charlie,Concluído,14/07/2025,01/23/2026,2026-01-26,1030,226034.49
PRJ0027,CLI060,Dashboard BI - Kairós,Dashboard BI,Alpha,Concluído,13-set-2024,2024-11-01,2024-11-04,262,65949.12
PRJ0028,CLI012,Diagnóstico de Dados - Laguna,Diagnóstico de Dados,Delta,Concluído,09/30/2024,2024-10-28,2024-10-31,114,26036.00
PRJ0029,CLI013,Data Warehouse - Windsor,DATA WAREHOUSE,Alpha,Concluído,2025-05-22,2025-10-07,11/11/2025,647,"138.848,86"
PRJ0030,CLI006,Diagnóstico de Dados - Granito,Diagnóstico de Dados,Charlie,Concluído,2024-09-13,2024-10-14,14-out-2024,116,26952.84
PRJ0031,CLI036,Treinamento - Cristal,treinamento,Charlie,CONCLUÍDO,2024-10-11,01/11/2024,11/04/2024,85,13187.13
PRJ0032,CLI049,Data Warehouse - Cristal,Data Warehouse,Foxtrot,Concluído,2026-02-02,15-jun-2026,2026-06-15,589,109279.97
PRJ0033,CLI019,Diagnóstico de Dados - Xingu,Diagnóstico de Dados,Bravo,Concluído,22/01/2024,02/20/2024,2024-02-12,152,"32.582,01"
PRJ0034,CLI009,Modelo Preditivo - Basalto,Modelo Preditivo,Foxtrot,Concluído,22-jan-2024,2024-05-20,2024-06-24,565,98617.32
PRJ0035,CLI056,Dashboard BI - Horizonte,Dashboard BI,Delta,Concluído,02/21/2025,2025-04-01,2025-04-03,178,44063.56
PRJ0036,CLI020,Data Warehouse - Duna,Data Warehouse,Alpha,Em andamento,2026-03-02,2026-08-03,,654,118710.70
PRJ0037,CLI059,Pipeline de Dados - Dunas,Pipeline de Dados,Delta,Concluído,2025-03-24,2025-06-23,24-jun-2025,352,"81.526,72"
PRJ0038,CLI041,Diagnóstico de Dados - Everest,Diagnóstico de Dados,Bravo,Cancelado,2024-06-17,22/07/2024,,127,32109.95
PRJ0039,CLI019,Data Warehouse - Xingu,  Data Warehouse,Alpha,Concluído,2024-10-23,24-fev-2025,2025-02-26,637,121568.75
PRJ0040,CLI038,Diagnóstico de Dados - Dunas,Diagnóstico de Dados,Foxtrot,Concluído,18/07/2025,08/18/2025,2025-08-14,110,25741.22
PRJ0041,CLI020,Dashboard BI - Duna,dashboard bi,Echo,Concluído,01-abr-2025,2025-07-31,2025-08-04,411,"104.592,71"
PRJ0042,CLI029,Data Warehouse - Dunas,Data Warehouse,Alpha,Concluído,03/25/2025,2025-10-06,2025-09-29,1012,179318.65
PRJ0043,CLI037,Diagnóstico de Dados - Serena,DIAGNÓSTICO DE DADOS,Echo,Concluído,2025-11-26,2025-12-11,05/12/2025,65,18197.78
PRJ0044,CLI012,Treinamento - Laguna,Treinamento,Echo,Concluído,2025-05-26,2025-06-11,09-jun-2025,95,14415.23
PRJ0045,CLI022,Diagnóstico de Dados - Umbu,Diagnóstico de Dados,Delta,Concluído,2025-02-21,27/03/2025,03/26/2025,186,"41.488,68"
PRJ0046,CLI050,Dashboard BI - Horizonte,Dashboard BI,Delta,CONCLUÍDO,2024-01-09,26-mar-2024,2024-03-25,383,94886.30
PRJ0047,CLI032,Modelo Preditivo - Coral,Modelo Preditivo,Foxtrot,Concluído,05/08/2024,11/19/2024,2024-12-12,406,
PRJ0048,CLI041,Dashboard BI - Everest,Dashboard BI,Echo,Concluído,21-nov-2024,2025-01-13,2025-01-06,242,58003.72
PRJ0049,CLI008,Dashboard BI - Orion,Dashboard B.I.,Foxtrot,Concluído,01/12/2026,2026-03-04,2026-03-02,198,"44.527,48"
PRJ0050,CLI036,Dashboard BI - Cristal,Dashboard BI,Bravo,Concluído,2025-09-12,2025-11-20,13/11/2025,316,64256.30
PRJ0051,CLI060,Pipeline de Dados - Kairós,pipeline de dados,Echo,Concluído,2024-10-23,2024-12-26,27-dez-2024,336,77022.28
PRJ0052,CLI035,Dashboard BI - Serena,Dashboard BI,Delta,Concluído,2026-02-27,01/05/2026,04/28/2026,296,63128.16
